Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
20217133,7/1/2016 0:44,7/1/2016 1:22,70362,2263,1009,12th St & Penn Ave,1025,Penn Ave & N Fairmount St,
20218077,7/1/2016 1:22,7/1/2016 1:34,70124,708,1001,Forbes Ave & Market Square,1012,North Shore Trail & Fort Duquesne Bridge,
20220848,7/1/2016 2:31,7/1/2016 2:39,70135,475,1049,S 12th St & E Carson St,1007,Stevenson St & Forbes Ave,
20227674,7/1/2016 5:48,7/1/2016 6:10,70260,1300,1022,Liberty Ave & S Millvale Ave (West Penn Hospital),1005,Forbes Ave & Grant St,
20228273,7/1/2016 6:05,7/1/2016 6:24,70010,1107,1025,Penn Ave & N Fairmount St,1001,Forbes Ave & Market Square,
20228404,7/1/2016 6:09,7/1/2016 6:23,70037,816,1032,Walnut St & College St,1040,Bigelow Blvd & Fifth Ave,
20228890,7/1/2016 6:21,7/1/2016 6:57,70322,2172,1033,Ivy St & Walnut St   ,1001,Forbes Ave & Market Square,
20229069,7/1/2016 6:25,7/1/2016 7:07,70281,2503,1048,S 18th St & Sidney St,1048,S 18th St & Sidney St,
20229097,7/1/2016 6:26,7/1/2016 6:49,70049,1420,1017,21st St & Penn Ave,1019,42nd St & Butler St,
20229687,7/1/2016 6:41,7/1/2016 6:58,70206,1014,1045,S 27th St & Sidney St. (Southside Works),1002,Third Ave & Wood St,
20229690,7/1/2016 6:41,7/1/2016 7:42,70155,3644,1015,Federal St & E North Ave,1015,Federal St & E North Ave,
20231181,7/1/2016 7:18,7/1/2016 7:22,70218,273,1029,Alder St & S Highland Ave,1028,Penn Ave & Putnam St (Bakery Square),
20231185,7/1/2016 7:18,7/1/2016 7:22,70064,281,1029,Alder St & S Highland Ave,1028,Penn Ave & Putnam St (Bakery Square),
20231324,7/1/2016 7:20,7/1/2016 10:05,70307,9883,1013,Isabella St & Federal St (PNC Park),1012,North Shore Trail & Fort Duquesne Bridge,
20231553,7/1/2016 7:25,7/1/2016 10:08,70494,9800,1013,Isabella St & Federal St (PNC Park),1012,North Shore Trail & Fort Duquesne Bridge,
20231590,7/1/2016 7:25,7/1/2016 10:07,70212,9678,1013,Isabella St & Federal St (PNC Park),1012,North Shore Trail & Fort Duquesne Bridge,
20231648,7/1/2016 7:26,7/1/2016 7:54,70055,1648,1033,Ivy St & Walnut St   ,1010,10th St & Penn Ave (David L. Lawrence Convention Center),
20231683,7/1/2016 7:27,7/1/2016 7:51,70153,1437,1021,Taylor St & Liberty Ave,1001,Forbes Ave & Market Square,
20231712,7/1/2016 7:28,7/1/2016 8:46,70052,4714,1045,S 27th St & Sidney St. (Southside Works),1045,S 27th St & Sidney St. (Southside Works),
20232301,7/1/2016 7:42,7/1/2016 7:45,70404,200,1008,Centre Ave & PPG Paints Arena,1006,Ross St & Sixth Ave (Steel Plaza T Station),
20232563,7/1/2016 7:48,7/1/2016 7:55,70259,455,1038,Boulevard of the Allies & Parkview Ave,1040,Bigelow Blvd & Fifth Ave,
20232845,7/1/2016 7:55,7/1/2016 8:06,70294,671,1049,S 12th St & E Carson St,1049,S 12th St & E Carson St,
20232889,7/1/2016 7:56,7/1/2016 8:06,70372,616,1049,S 12th St & E Carson St,1049,S 12th St & E Carson St,
